source,participant_id,time_condition,total_time,reading_speed,skip_rate,regression_rate
human,5,30s,30,212.66666666666666,0.43162393162393164,0.45847557228542657
human,5,60s,60,197.0,0.3148299272681167,0.6092692911906835
human,5,90s,90,195.55555555555554,0.3008713848282217,0.6229355891655178
human,6,30s,30,181.33333333333334,0.3395521843349187,0.2708303541636875
human,6,60s,60,144.0,0.2520662867031582,0.3617365049253407
human,6,90s,90,123.33333333333333,0.2253708189893323,0.4665327978580991
human,7,30s,30,176.0,0.39447702050709527,0.1390423704665893
human,7,60s,60,177.0,0.2886904761904762,0.466536951698242
human,7,90s,90,152.2222222222222,0.20498981638347702,0.5258517000683026
human,8,30s,30,200.0,0.3659052206490537,0.4060152671755725
human,8,60s,60,186.33333333333334,0.32618841599086074,0.496567120480164
human,8,90s,90,183.55555555555554,0.27949916395965774,0.6341965249828213
human,9,30s,30,225.33333333333334,0.41692492993306,0.47878915171091824
human,9,60s,60,226.0,0.3929669922443686,0.7094340384219103
human,9,90s,90,224.22222222222226,0.42194758861425524,0.8039507419620593
human,10,30s,30,204.0,0.5374446773817843,0.4339363800051445
human,10,60s,60,173.66666666666666,0.3638112036281373,0.48809954665217825
human,10,90s,90,180.22222222222226,0.3974031721696905,0.653913747462927
human,11,30s,30,216.0,0.4713169820773839,0.5303763440860215
human,11,60s,60,196.66666666666666,0.43778025517155955,0.7171287341500108
human,11,90s,90,199.33333333333334,0.43350649746526165,0.7425578291019672
human,12,30s,30,182.66666666666666,0.3412586259182046,0.14569900534812816
human,12,60s,60,179.66666666666666,0.2695876577757312,0.4322172851640263
human,12,90s,90,178.66666666666666,0.31039222671724764,0.5785330831445891
human,13,30s,30,174.0,0.34922613279988335,0.3180747567844342
human,13,60s,60,143.33333333333334,0.26114543114543115,0.4145235044428593
human,13,90s,90,142.66666666666666,0.2730647761883564,0.518919941362841
human,14,30s,30,197.0,0.41175386882829773,0.19135757751376412
human,14,60s,60,179.33333333333334,0.39689398955899896,0.5270169171832658
human,14,90s,90,182.8888888888889,0.35862571919287917,0.6610013175230566
human,15,30s,30,186.66666666666666,0.3870123309375646,0.3468408885075552
human,15,60s,60,148.33333333333334,0.2706510521828869,0.3247442773461162
human,15,90s,90,144.44444444444446,0.26573959113909346,0.6120034795527407
human,16,30s,30,170.0,0.2748821548821549,0.4007453988642107
human,16,60s,60,142.66666666666666,0.20139393225289304,0.3510767403429043
human,16,90s,90,147.55555555555554,0.22933973483680573,0.4966367637148046
human,17,30s,30,165.33333333333334,0.44319901757617625,0.15998902121449468
human,17,60s,60,165.0,0.34588533188641707,0.4471293685953372
human,17,90s,90,152.44444444444443,0.3131809710757079,0.5419347431987632
human,18,30s,30,167.33333333333334,0.36221530194785373,0.21019051042415526
human,18,60s,60,143.33333333333334,0.2679858388401102,0.34029125311326713
human,18,90s,90,149.33333333333334,0.20729072477888663,0.5459274026817886
human,19,30s,30,209.33333333333334,0.3113402777777778,0.4239662273178005
human,19,60s,60,209.66666666666666,0.2835866187015148,0.6918653222202794
human,19,90s,90,196.0,0.2735541329540218,0.6211479703100141
human,20,30s,30,165.33333333333334,0.34163855946034166,0.26633986928104575
human,20,60s,60,139.66666666666666,0.32454695698402797,0.2895026042553744
human,20,90s,90,138.0,0.29742810457516344,0.5332483793742494
human,21,30s,30,218.66666666666666,0.45870626460127545,0.4103855357471558
human,21,60s,60,197.0,0.4155777839367751,0.5718120768743821
human,21,90s,90,188.2222222222222,0.42740138972118885,0.6953661762883385
human,22,30s,30,196.66666666666666,0.48063151843639645,0.3695675551254125
human,22,60s,60,184.33333333333334,0.39551293937797233,0.5476069379238393
human,22,90s,90,161.33333333333334,0.3503412823929672,0.6493767287751059
human,23,30s,30,191.33333333333334,0.48935726710075733,0.41062508534428277
human,23,60s,60,187.33333333333334,0.4357343991279862,0.6162584070000224
human,23,90s,90,178.44444444444446,0.39577410180042394,0.6883343626260109
human,24,30s,30,196.66666666666666,0.37481891279505747,0.28859865180191857
human,24,60s,60,184.0,0.37355063546117,0.5140493781074242
human,24,90s,90,170.66666666666666,0.2887630749921652,0.5779884912951274
human,25,30s,30,122.66666666666667,0.3348286306392476,0.3340118674545627
human,25,60s,60,103.0,0.25427155557114517,0.3421578050799874
human,25,90s,90,107.33333333333333,0.22957968938203366,0.3517576081390948
human,26,30s,30,204.0,0.3029810298102981,0.251999466808851
human,26,60s,60,185.66666666666666,0.25402844246816814,0.41715722991222565
human,26,90s,90,180.8888888888889,0.2856208255275228,0.6175021234533906
human,27,30s,30,333.5,0.5273187595844403,0.49730372873258877
human,27,60s,60,228.33333333333334,0.5392681311149566,0.6999922309289398
human,27,90s,90,213.66666666666669,0.5546217418944691,0.7563540753724802
human,28,30s,30,193.33333333333334,0.4660440515703674,0.35852434086370216
human,28,60s,60,150.0,0.23192637510387618,0.3942276206292224
human,28,90s,90,146.88888888888889,0.25959530937613884,0.5232944968989409
human,29,30s,30,200.0,0.37680656250219574,0.2918162500090657
human,29,60s,60,190.33333333333334,0.3812596195757349,0.5475718212282089
human,29,90s,90,190.88888888888889,0.3591288531111912,0.6902093768927072
human,30,30s,30,163.33333333333334,0.3467668071075289,0.1815240833932423
human,30,60s,60,157.33333333333334,0.23138726029756426,0.4012906097018247
human,30,90s,90,153.55555555555554,0.27233766202783877,0.5596985384585594
