source,participant_id,stimulus_index,time_condition,total_time,reading_speed,skip_rate,regression_rate
human,5,0,30s,30,196.0,0.43333333333333335,0.49586776859504134
human,5,1,30s,30,224.0,0.36153846153846153,0.4351145038167939
human,5,8,30s,30,218.0,0.5,0.4444444444444444
human,5,2,60s,60,197.0,0.3,0.6224066390041494
human,5,3,60s,60,190.0,0.3221757322175732,0.6375
human,5,4,60s,60,204.0,0.32231404958677684,0.5679012345679012
human,5,5,90s,90,182.66666666666666,0.2719546742209632,0.5847457627118644
human,5,6,90s,90,186.66666666666666,0.25071225071225073,0.6051136363636364
human,5,7,90s,90,217.33333333333334,0.37994722955145116,0.6789473684210526
human,6,1,30s,30,184.0,0.3644859813084112,0.1574074074074074
human,6,2,30s,30,188.0,0.2727272727272727,0.36936936936936937
human,6,3,30s,30,172.0,0.38144329896907214,0.2857142857142857
human,6,0,60s,60,137.0,0.20670391061452512,0.3277777777777778
human,6,7,60s,60,135.0,0.296969696969697,0.35542168674698793
human,6,8,60s,60,160.0,0.25252525252525254,0.4020100502512563
human,6,4,90s,90,124.66666666666667,0.2648221343873518,0.5
human,6,5,90s,90,125.33333333333334,0.23387096774193547,0.42971887550200805
human,6,6,90s,90,120.0,0.1774193548387097,0.46987951807228917
human,7,3,30s,30,178.0,0.4803921568627451,0.18446601941747573
human,7,4,30s,30,170.0,0.3490566037735849,0.07476635514018691
human,7,5,30s,30,180.0,0.35398230088495575,0.15789473684210525
human,7,6,60s,60,165.0,0.25,0.3640552995391705
human,7,7,60s,60,187.0,0.36160714285714285,0.5955555555555555
human,7,8,60s,60,179.0,0.2544642857142857,0.44
human,7,0,90s,90,152.66666666666666,0.1945288753799392,0.5181818181818182
human,7,1,90s,90,154.0,0.2360655737704918,0.4705882352941176
human,7,2,90s,90,150.0,0.184375,0.5887850467289719
human,8,2,30s,30,188.0,0.29411764705882354,0.5
human,8,3,30s,30,202.0,0.39230769230769236,0.37404580152671757
human,8,4,30s,30,210.0,0.4112903225806452,0.344
human,8,0,60s,60,175.0,0.33789954337899547,0.5409090909090909
human,8,1,60s,60,196.0,0.3218884120171674,0.4444444444444444
human,8,8,60s,60,188.0,0.31877729257641924,0.5043478260869565
human,8,5,90s,90,167.33333333333331,0.24024024024024024,0.5658682634730539
human,8,6,90s,90,192.66666666666669,0.26301369863013696,0.6967213114754098
human,8,7,90s,90,190.66666666666666,0.335243553008596,0.64
human,9,4,30s,30,232.0,0.45384615384615384,0.48854961832061067
human,9,5,30s,30,228.0,0.4148148148148148,0.45588235294117646
human,9,6,30s,30,216.0,0.38211382113821135,0.49193548387096775
human,9,1,60s,60,222.0,0.4326530612244898,0.7032520325203252
human,9,2,60s,60,231.0,0.35714285714285715,0.704119850187266
human,9,3,60s,60,225.0,0.3891050583657588,0.7209302325581395
human,9,0,90s,90,215.33333333333334,0.3783783783783784,0.7816711590296496
human,9,7,90s,90,232.0,0.4615384615384615,0.8386243386243386
human,9,8,90s,90,225.33333333333334,0.42592592592592593,0.7915567282321899
human,10,6,30s,30,210.0,0.5,0.3853211009174312
human,10,7,30s,30,204.0,0.5462962962962963,0.46788990825688076
human,10,8,30s,30,198.0,0.5660377358490566,0.4485981308411215
human,10,0,60s,60,177.0,0.4009661835748793,0.5336538461538461
human,10,1,60s,60,176.0,0.3827751196172249,0.49523809523809526
human,10,2,60s,60,168.0,0.3076923076923077,0.4354066985645933
human,10,3,90s,90,169.33333333333334,0.39344262295081966,0.6209150326797386
human,10,4,90s,90,191.33333333333334,0.43425076452599387,0.5884146341463414
human,10,5,90s,90,180.0,0.36451612903225805,0.752411575562701
human,11,2,30s,30,216.0,0.4789915966386555,0.575
human,11,3,30s,30,210.0,0.4715447154471545,0.4435483870967742
human,11,4,30s,30,222.0,0.4634146341463415,0.5725806451612904
human,11,5,60s,60,189.0,0.4304347826086957,0.6623376623376623
human,11,6,60s,60,196.0,0.4,0.7316017316017316
human,11,7,60s,60,205.0,0.4829059829059829,0.7574468085106383
human,11,0,90s,90,194.66666666666666,0.4824561403508772,0.7521865889212828
human,11,1,90s,90,200.66666666666669,0.42151162790697677,0.7362318840579711
human,11,8,90s,90,202.66666666666666,0.39655172413793105,0.7392550143266476
human,12,4,30s,30,192.0,0.3879310344827587,0.09401709401709402
human,12,5,30s,30,192.0,0.3274336283185841,0.32456140350877194
human,12,6,30s,30,164.0,0.308411214953271,0.018518518518518517
human,12,1,60s,60,179.0,0.24107142857142858,0.38222222222222224
human,12,2,60s,60,179.0,0.25688073394495414,0.47945205479452047
human,12,3,60s,60,181.0,0.3108108108108108,0.43497757847533625
human,12,0,90s,90,186.0,0.311178247734139,0.5993975903614458
human,12,7,90s,90,174.66666666666666,0.3227848101265823,0.5899053627760252
human,12,8,90s,90,175.33333333333331,0.29721362229102166,0.5462962962962963
human,13,6,30s,30,172.0,0.2403846153846154,0.10476190476190476
human,13,7,30s,30,196.0,0.4485981308411215,0.33333333333333326
human,13,8,30s,30,154.0,0.358695652173913,0.5161290322580645
human,13,0,60s,60,145.0,0.2648648648648649,0.3655913978494624
human,13,1,60s,60,138.0,0.26857142857142857,0.3806818181818182
human,13,2,60s,60,147.0,0.25,0.4972972972972973
human,13,3,90s,90,145.33333333333331,0.29577464788732394,0.5157894736842106
human,13,4,90s,90,136.0,0.2689393939393939,0.4981132075471698
human,13,5,90s,90,146.66666666666669,0.25448028673835127,0.5428571428571428
human,14,5,30s,30,196.0,0.391304347826087,0.18103448275862066
human,14,6,30s,30,198.0,0.4322033898305085,0.20168067226890757
human,14,2,60s,60,180.0,0.3820754716981132,0.568075117370892
human,14,3,60s,60,179.0,0.37668161434977576,0.5223214285714286
human,14,4,60s,60,179.0,0.431924882629108,0.49065420560747663
human,14,0,90s,90,164.0,0.35331230283911674,0.6666666666666665
human,14,1,90s,90,192.0,0.3708206686930091,0.6757575757575758
human,14,8,90s,90,192.66666666666669,0.35174418604651164,0.6405797101449275
human,15,0,30s,30,186.0,0.35135135135135137,0.44642857142857145
human,15,7,30s,30,194.0,0.45454545454545453,0.27927927927927926
human,15,8,30s,30,180.0,0.35514018691588783,0.3148148148148148
human,15,4,60s,60,154.0,0.2352941176470588,0.2780487804878049
human,15,5,60s,60,144.0,0.3157894736842105,0.28272251308900526
human,15,6,60s,60,147.0,0.2608695652173913,0.4134615384615385
human,15,1,90s,90,150.66666666666666,0.27986348122866894,0.6496598639455783
human,15,2,90s,90,154.66666666666669,0.25951557093425603,0.6655172413793103
human,15,3,90s,90,128.0,0.2578397212543554,0.5208333333333334
human,16,0,30s,30,162.0,0.26,0.21782178217821785
human,16,1,30s,30,166.0,0.2828282828282828,0.57
human,16,2,30s,30,182.0,0.2818181818181818,0.4144144144144144
human,16,3,60s,60,122.0,0.18181818181818182,0.324468085106383
human,16,4,60s,60,151.0,0.20772946859903382,0.4375
human,16,5,60s,60,155.0,0.21463414634146344,0.2912621359223301
human,16,6,90s,90,131.33333333333334,0.2,0.49140893470790376
human,16,7,90s,90,167.33333333333331,0.28938906752411575,0.4967948717948718
human,16,8,90s,90,144.0,0.1986301369863014,0.5017064846416383
human,17,5,30s,30,140.0,0.313953488372093,0.1839080459770115
human,17,6,30s,30,176.0,0.4356435643564357,0.09803921568627452
human,17,7,30s,30,180.0,0.58,0.19801980198019803
human,17,0,60s,60,160.0,0.31958762886597936,0.4615384615384615
human,17,1,60s,60,172.0,0.3917525773195877,0.48717948717948717
human,17,8,60s,60,163.0,0.3263157894736842,0.39267015706806285
human,17,2,90s,90,156.66666666666666,0.2807017543859649,0.583916083916084
human,17,3,90s,90,144.0,0.34065934065934067,0.5401459854014599
human,17,4,90s,90,156.66666666666666,0.3181818181818182,0.5017421602787456
human,18,0,30s,30,156.0,0.27184466019417475,0.27884615384615385
human,18,7,30s,30,176.0,0.4563106796116505,0.21153846153846154
human,18,8,30s,30,170.0,0.3584905660377358,0.14018691588785046
human,18,4,60s,60,140.0,0.271356783919598,0.275
human,18,5,60s,60,144.0,0.2967032967032967,0.3224043715846994
human,18,6,60s,60,146.0,0.23589743589743586,0.423469387755102
human,18,1,90s,90,155.33333333333334,0.22635135135135134,0.5589225589225589
human,18,2,90s,90,147.33333333333334,0.1848184818481848,0.5855263157894737
human,18,3,90s,90,145.33333333333331,0.21070234113712374,0.49333333333333335
human,19,0,30s,30,202.0,0.3046875,0.8449612403100776
human,19,1,30s,30,226.0,0.33333333333333326,0.22058823529411764
human,19,2,30s,30,200.0,0.296,0.20634920634920634
human,19,3,60s,60,200.0,0.26459143968871596,0.6124031007751938
human,19,4,60s,60,228.0,0.2943396226415094,0.81203007518797
human,19,5,60s,60,201.0,0.2918287937743191,0.6511627906976745
human,19,6,90s,90,180.0,0.22254335260115607,0.5936599423631124
human,19,7,90s,90,214.66666666666669,0.300531914893617,0.7002652519893899
human,19,8,90s,90,193.33333333333334,0.2975871313672922,0.56951871657754
human,20,0,30s,30,164.0,0.3465346534653465,0.5196078431372549
human,20,1,30s,30,174.0,0.3267326732673268,0.02941176470588235
human,20,8,30s,30,158.0,0.3516483516483517,0.25
human,20,5,60s,60,145.0,0.2982456140350877,0.3081395348837209
human,20,6,60s,60,133.0,0.2840909090909091,0.21468926553672316
human,20,7,60s,60,141.0,0.391304347826087,0.345679012345679
human,20,2,90s,90,140.0,0.244,0.5816733067729084
human,20,3,90s,90,128.66666666666666,0.35416666666666674,0.4979253112033195
human,20,4,90s,90,145.33333333333331,0.29411764705882354,0.5201465201465202
human,21,1,30s,30,228.0,0.46610169491525416,0.4117647058823529
human,21,2,30s,30,214.0,0.42241379310344823,0.3931623931623932
human,21,3,30s,30,214.0,0.48760330578512395,0.4262295081967213
human,21,0,60s,60,189.0,0.3767441860465116,0.5879629629629629
human,21,7,60s,60,207.0,0.4615384615384615,0.5900900900900901
human,21,8,60s,60,195.0,0.4084507042253522,0.5373831775700935
human,21,4,90s,90,190.66666666666666,0.4451612903225806,0.6559485530546624
human,21,5,90s,90,188.66666666666666,0.3796296296296296,0.7446153846153846
human,21,6,90s,90,185.33333333333334,0.45741324921135645,0.6855345911949685
human,22,3,30s,30,188.0,0.5277777777777778,0.33944954128440374
human,22,4,30s,30,174.0,0.41818181818181815,0.4144144144144144
human,22,5,30s,30,228.0,0.4959349593495935,0.3548387096774194
human,22,6,60s,60,172.0,0.35348837209302325,0.6388888888888888
human,22,7,60s,60,191.0,0.4481132075471698,0.5164319248826291
human,22,8,60s,60,190.0,0.38493723849372385,0.4875
human,22,0,90s,90,140.66666666666669,0.33455882352941174,0.6007326007326007
human,22,1,90s,90,176.66666666666669,0.3507692307692308,0.6441717791411042
human,22,2,90s,90,166.66666666666666,0.36569579288025894,0.7032258064516129
human,23,0,30s,30,186.0,0.5188679245283019,0.3177570093457944
human,23,1,30s,30,186.0,0.4351851851851852,0.27522935779816515
human,23,8,30s,30,202.0,0.514018691588785,0.6388888888888888
human,23,2,60s,60,192.0,0.41743119266055045,0.6484018264840182
human,23,3,60s,60,189.0,0.4541284403669724,0.7077625570776256
human,23,4,60s,60,181.0,0.4356435643564357,0.49261083743842365
human,23,5,90s,90,163.33333333333334,0.3433333333333334,0.6112956810631229
human,23,6,90s,90,168.66666666666666,0.3531353135313531,0.6907894736842105
human,23,7,90s,90,203.33333333333334,0.49085365853658536,0.7629179331306992
human,24,1,30s,30,198.0,0.4144144144144144,0.16071428571428573
human,24,2,30s,30,192.0,0.3274336283185841,0.39473684210526316
human,24,3,30s,30,200.0,0.3826086956521739,0.3103448275862069
human,24,0,60s,60,171.0,0.30973451327433627,0.4581497797356828
human,24,7,60s,60,191.0,0.4018264840182648,0.5636363636363636
human,24,8,60s,60,190.0,0.4090909090909091,0.5203619909502263
human,24,4,90s,90,158.0,0.2739273927392739,0.506578947368421
human,24,5,90s,90,179.33333333333334,0.2839506172839506,0.5938461538461538
human,24,6,90s,90,174.66666666666666,0.308411214953271,0.6335403726708074
human,25,1,30s,30,130.0,0.34666666666666673,0.39473684210526316
