time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
60s_90s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
60s_90s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
60s_90s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
60s_90s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,29,7,0.2413793103448276,0.6877017156446406,0.16502463054187191
60s_90s,"[0.4, 0.5)",0.4,0.5,0.45,693,310,0.44733044733044736,0.7371664497628194,0.3111602783770226
60s_90s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,516,224,0.43410852713178294,0.7465667488196558,0.320294652053373
60s_90s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,41,26,0.6341463414634146,0.8111788617886179,0.5776422764227642
60s_90s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
60s_90s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
60s_90s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
