time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
90s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
90s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
90s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
90s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,18,6,0.3333333333333333,0.7092911877394636,0.22817460317460314
90s,"[0.4, 0.5)",0.4,0.5,0.45,362,212,0.585635359116022,0.7480630357191108,0.4127536236713204
90s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,261,135,0.5172413793103449,0.7561268552647863,0.38258610801714255
90s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,26,18,0.6923076923076923,0.7977564102564103,0.5916666666666667
90s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
90s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
90s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
