time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
all,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
all,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
all,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
all,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,41,7,0.17073170731707318,0.6754175177219752,0.117595818815331
all,"[0.4, 0.5)",0.4,0.5,0.45,933,322,0.34512325830653806,0.7205092434273764,0.24537788392998855
all,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,708,250,0.3531073446327684,0.7279321549448668,0.2622238578276714
all,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,59,30,0.5084745762711864,0.7771186440677965,0.4692090395480226
all,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
all,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
all,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
