time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
all,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
all,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
all,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
all,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,41,7,0.17073170731707318,0.6754175177219752,0.117595818815331
all,"[0.4, 0.5)",0.4,0.5,0.45,933,322,0.34512325830653806,0.7205092434273764,0.24537788392998855
all,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,708,250,0.3531073446327684,0.7279321549448668,0.2622238578276714
all,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,59,30,0.5084745762711864,0.7771186440677965,0.4692090395480226
all,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
all,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
all,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
30s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
30s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
30s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
30s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,12,0,0.0,0.6457307060755336,0.002976190476190476
30s,"[0.4, 0.5)",0.4,0.5,0.45,240,12,0.05,0.6724115601337847,0.0554312199641778
30s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,192,26,0.13541666666666666,0.6778516839063715,0.10615859834609835
30s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,18,4,0.2222222222222222,0.699537037037037,0.2222222222222222
30s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
30s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
30s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
60s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
60s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
60s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
60s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,11,1,0.09090909090909091,0.6523734885803851,0.06168831168831168
60s,"[0.4, 0.5)",0.4,0.5,0.45,331,98,0.29607250755287007,0.7252493376293528,0.2000521484781228
60s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,255,89,0.34901960784313724,0.7367816986934635,0.2565375147728089
60s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,15,8,0.5333333333333333,0.8344444444444444,0.5533333333333333
60s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
60s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
60s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
90s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
90s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
90s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
90s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,18,6,0.3333333333333333,0.7092911877394636,0.22817460317460314
90s,"[0.4, 0.5)",0.4,0.5,0.45,362,212,0.585635359116022,0.7480630357191108,0.4127536236713204
90s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,261,135,0.5172413793103449,0.7561268552647863,0.38258610801714255
90s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,26,18,0.6923076923076923,0.7977564102564103,0.5916666666666667
90s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
90s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
90s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
30s_60s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
30s_60s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
30s_60s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
30s_60s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,23,1,0.043478260869565216,0.6489076890126366,0.03105590062111801
30s_60s,"[0.4, 0.5)",0.4,0.5,0.45,571,110,0.19264448336252188,0.7030408146890089,0.13926576871744542
30s_60s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,447,115,0.25727069351230425,0.7114694775768602,0.19194522852240975
30s_60s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,33,12,0.36363636363636365,0.7608585858585859,0.37272727272727274
30s_60s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
30s_60s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
30s_60s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
60s_90s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
60s_90s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
60s_90s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
60s_90s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,29,7,0.2413793103448276,0.6877017156446406,0.16502463054187191
60s_90s,"[0.4, 0.5)",0.4,0.5,0.45,693,310,0.44733044733044736,0.7371664497628194,0.3111602783770226
60s_90s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,516,224,0.43410852713178294,0.7465667488196558,0.320294652053373
60s_90s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,41,26,0.6341463414634146,0.8111788617886179,0.5776422764227642
60s_90s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
60s_90s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
60s_90s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
