word_length,letter_number,proportion_of_fixation
3,0,0.30303030303030304
3,1,0.33636363636363636
3,2,0.3606060606060606
4,0,0.23076923076923075
4,1,0.2621082621082621
4,2,0.27207977207977213
4,3,0.235042735042735
5,0,0.18620689655172418
5,1,0.22206896551724142
5,2,0.2413793103448276
5,3,0.20413793103448274
5,4,0.14620689655172409
6,0,0.15768194070080865
6,1,0.18059299191374661
6,2,0.2264150943396227
6,3,0.20485175202156333
6,4,0.14690026954177896
6,5,0.08355795148247974
7,0,0.13545816733067728
7,1,0.16733067729083664
7,2,0.20982735723771578
7,3,0.19920318725099603
7,4,0.14209827357237714
7,5,0.08897742363877818
7,6,0.05710491367861884
8,0,0.12198391420911528
8,1,0.15817694369973193
8,2,0.20375335120643437
8,3,0.2117962466487936
8,4,0.13270777479892762
8,5,0.09651474530831097
8,6,0.04155495978552275
8,7,0.0335120643431635
