word_length,letter_number,proportion_of_fixation
5,0,19.09090909
5,1,27.27272727
5,2,25.22727273
5,3,18.40909091
5,4,10.22727273
6,0,15.65217391
6,1,19.56521739
6,2,22.17391304
6,3,18.26086957
6,4,12.39130435
6,5,9.130434783
7,0,14.0
7,1,21.33333333
7,2,18.66666667
7,3,16.66666667
7,4,14.0
7,5,8.666666667
7,6,6.0
8,0,13.63636364
8,1,19.09090909
8,2,17.04545455
8,3,19.09090909
8,4,11.59090909
8,5,8.863636364
8,6,8.863636364
8,7,2.727272727
9,0,15.65217391
9,1,13.04347826
9,2,16.30434783
9,3,15.0
9,4,13.69565217
9,5,11.08695652
9,6,6.52173913
9,7,5.217391304
9,8,1.956521739
10,0,4.516129032
10,1,16.12903226
10,2,16.77419355
10,3,16.77419355
10,4,19.35483871
10,5,9.032258065
10,6,6.451612903
10,7,3.225806452
10,8,4.516129032
10,9,3.225806452
