word_length,letter_number,probability_of_regression
5,0,19.375
5,1,21.25
5,2,20.0
5,3,16.875
5,4,25.0
6,0,11.25
6,1,19.375
6,2,14.375
6,3,19.375
6,4,14.375
6,5,25.0
7,0,19.56521739
7,1,12.39130435
7,2,20.2173913
7,3,11.08695652
7,4,9.782608696
7,5,17.60869565
7,6,15.0
8,0,3.260869565
8,1,16.95652174
8,2,20.86956522
8,3,10.43478261
8,4,12.39130435
8,5,10.43478261
8,6,16.95652174
8,7,16.95652174
9,0,8.387096774
9,1,13.5483871
9,2,12.90322581
9,3,10.32258065
9,4,8.387096774
9,5,7.741935484
9,6,10.32258065
9,7,12.25806452
9,8,12.25806452
