word_length,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
1,201.50969499821392,133.2643413353533,704,5.022588842536552,191.66542086684228,211.35396912958555
2,206.93487204367236,149.1705075032073,730,5.521048181795255,196.11361760735366,217.75612647999105
3,223.1657987068307,159.7770196115644,719,5.958677359745545,211.48679108172945,234.84480633193198
4,205.7987271330427,146.94435946419034,738,5.409096621240454,195.1968977554114,216.40055651067397
5,214.07350946268747,150.77197684640606,687,5.752309706626618,202.7989824376993,225.34803648767564
6,207.72686794768794,146.00450187006095,745,5.349191065522833,197.24245345926317,218.2112824361127
7,225.30000717342406,159.93174633549881,735,5.899171334164343,213.73763135846195,236.86238298838617
8,206.330318206157,157.51694510134337,734,5.814056535492357,194.93476739659198,217.725869015722
9,209.3611010518629,156.7351749733072,694,5.949585880766216,197.69991272556112,221.0222893781647
10,337.92725550335365,212.91989239627154,715,7.962752500352746,322.32026060266224,353.53425040404505
11,331.7297759642766,196.0106001915827,699,7.413801785895685,317.19872446392105,346.26082746463214
12,334.1567590842083,210.79111356129692,714,7.888659160866233,318.6949871289105,349.61853103950614
13,349.9536973663435,207.02025116802545,696,7.8470823695846645,334.5734159219575,365.33397881072943
14,353.5138544350421,200.46185037245675,690,7.63145221945977,338.55620808490096,368.47150078518325
