word,original_word,difficulty,regression_probability,total_occurrences
immigrants,immigrants,0.9837293684278936,0.8181818181818182,11
efforts,efforts,0.9212466055378007,0.75,12
works,works,0.8162404806289613,0.75,12
10000,"10,000",1.0,0.75,12
reorganized,reorganized,1.067702499536063,0.7272727272727273,11
henry,Henry,0.8287322549968837,0.7272727272727273,11
victory,victory,0.8789611548617505,0.7272727272727273,11
edsels,Edsel's,1.0,0.7272727272727273,11
second,second,0.7768918987386576,0.7272727272727273,11
response,response,0.8902885567243769,0.7272727272727273,11
rosemary,Rosemary,0.9369339137342135,0.7272727272727273,11
joseph,Joseph,0.8817640469190943,0.6666666666666666,12
stedman,Stedman,1.0,0.6666666666666666,12
moved,moved,0.832643527254657,0.6666666666666666,12
the,the,0.5937206175868414,0.6363636363636364,11
alexander,Alexander,0.9110744984602352,0.6363636363636364,11
alford,"Alford,",1.0,0.6363636363636364,11
has,has,0.7223106895075054,0.6363636363636364,11
1893,"1893,",1.0,0.6363636363636364,11
called,called,0.7698632306340781,0.6363636363636364,11
george,George,0.8030921979295951,0.6363636363636364,11
including,including,0.869079854255654,0.6363636363636364,11
columnist,columnist,1.0,0.6363636363636364,11
brothers,brothers,0.8479407342872723,0.6363636363636364,11
american,American,0.8173149203073439,0.6363636363636364,11
son,son,0.762401077710409,0.6,10
marry,marry,0.8165006860544113,0.6,10
successively,successively,1.1544518185760018,0.5833333333333334,12
leonard,Leonard,0.9005026246689417,0.5833333333333334,12
111senator,111Senator,1.0,0.5833333333333334,12
stanley,Stanley,0.8845685115335667,0.5833333333333334,12
knight,Knight,0.8702285355367466,0.5833333333333334,12
phi,Phi,1.004159771869152,0.5833333333333334,12
raymond,Raymond,1.0,0.5833333333333334,12
bartholomew,Bartholomew,1.04144835960452,0.5833333333333334,12
comedy,comedy,0.9025561811539885,0.5833333333333334,12
st,St.,0.845359124479169,0.5833333333333334,12
election,election,0.905399787262357,0.5833333333333334,12
chevy,Chevy,0.9513368981779299,0.5833333333333334,12
jay,Jay,0.8902885567243769,0.5833333333333334,12
father,father,0.7505551165242969,0.5833333333333334,12
keynes,Keynes,1.0,0.5833333333333334,12
enlisted,enlisted,0.9515677837279545,0.5833333333333334,12
acre,acre,0.9763571465468116,0.5833333333333334,12
significant,significant,0.9261595730181486,0.5833333333333334,12
wife,"wife,",0.7688431032905644,0.5833333333333334,12
business,Business,0.7721359061450118,0.5833333333333334,12
united,United,0.8453355558883567,0.5833333333333334,12
mary,Mary,0.8231929721851187,0.5833333333333334,12
over,over,0.7162131790381164,0.5833333333333334,12
knight,Knight,0.8702285355367466,0.5833333333333334,12
hat,"Hat,",0.8356909352036831,0.5454545454545454,11
1891,"1891,",1.0,0.5454545454545454,11
further,further,0.8434343214572972,0.5454545454545454,11
marilyn,Marilyn,0.9139588849988113,0.5454545454545454,11
own,own,0.7579998291463711,0.5454545454545454,11
mgm,MGM,1.0,0.5454545454545454,11
records,"Records,",0.8538579778924013,0.5454545454545454,11
born,(born,0.8252114938310406,0.5454545454545454,11
ethics,Ethics,0.933786019816252,0.5454545454545454,11
rae,Rae,1.0,0.5454545454545454,11
baldwin,Baldwin,1.0,0.5454545454545454,11
relatively,relatively,0.9534651490019204,0.5454545454545454,11
progressive,progressive,0.9754988232529166,0.5454545454545454,11
dot,Dot,0.9253169519632022,0.5454545454545454,11
stephen,Stephen,0.8978613653688428,0.5454545454545454,11
winifred,Winifred,1.0,0.5454545454545454,11
1964,1964,1.0,0.5454545454545454,11
associate,associate,0.9133385148484267,0.5454545454545454,11
21,"21,",1.0,0.5454545454545454,11
mileva,Mileva,1.0,0.5454545454545454,11
age,age,0.8273886198555005,0.5454545454545454,11
