sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,belief_in_next_word_predictability,skip_probability,regression_probability,total_occurrences
260,0,austin,Austin,0,Austin is a member of the left-wing Socialist Campaign Group.,6,10.29,1.012415374762433,0.9079622386579607,0.0005,-4.605120183487925,0.0,1.0,1.0,5
260,1,is,is,1,Austin is a member of the left-wing Socialist Campaign Group.,2,9013.0,3.9548693710664784,0.6404664208121383,0.0023786998165323224,-3.825081647708918,1.0,0.0,0.0,5
260,2,a,a,2,Austin is a member of the left-wing Socialist Campaign Group.,1,20415.27,4.309955128012859,0.6081858974533765,0.2585771560105953,-1.4544492112125385,0.7149649893674256,1.0,0.0,5
260,3,member,member,3,Austin is a member of the left-wing Socialist Campaign Group.,6,28.78,1.4590907896005865,0.867355382763583,0.034384634578730686,-2.486341357049102,1.0,0.0,0.0,5
260,4,of,of,4,Austin is a member of the left-wing Socialist Campaign Group.,2,11577.24,4.063605036452092,0.6305813603225371,4.321249901238605,0.9255234758140312,0.9978368425367343,1.0,0.0,5
260,5,the,the,5,Austin is a member of the left-wing Socialist Campaign Group.,3,29449.18,4.469073206544746,0.5937206175868412,3.405408779621102,0.3793737849610981,0.5808052341290117,0.0,0.0,5
260,6,leftwing,left-wing,6,Austin is a member of the left-wing Socialist Campaign Group.,8,1.0,0.0,1.0,0.0005,-4.605120183487925,1.0,1.0,1.0,5
260,7,socialist,Socialist,7,Austin is a member of the left-wing Socialist Campaign Group.,9,1.27,0.10380372095595687,0.9905632980949131,0.0005,-4.605120183487925,0.624606813656079,0.0,0.0,5
260,8,campaign,Campaign,8,Austin is a member of the left-wing Socialist Campaign Group.,8,16.78,1.2247919564926815,0.8886552766824835,0.0005,-4.605120183487925,0.9541303624163098,1.0,0.0,5
260,9,group,Group.,9,Austin is a member of the left-wing Socialist Campaign Group.,5,73.76,1.867820908045573,0.8301980992685841,0.0005,-4.605120183487925,0.9350257831773183,0.0,0.0,5
146,0,beginning,Beginning,0,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",9,63.12,1.8001669902013642,0.8363484554362396,0.0003310694924060935,-4.555842091928839,0.6340217032635908,1.0,1.0,3
146,1,with,with,1,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",4,5048.33,3.7031477361914535,0.663350205800777,0.31852938143212517,-1.0652029705613877,0.9697672848377765,0.0,0.0,3
146,2,love,Love,2,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",4,1114.98,3.047267077278763,0.7229757202473852,0.00030000000000000003,-4.605120183487925,0.419206278500827,1.0,1.0,3
146,3,me,Me,3,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,9241.94,3.9657631446897734,0.6394760777554751,0.002368860521149414,-3.571584294398568,0.49819359368519334,0.0,0.0,3
146,4,tender,Tender,4,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,8.88,0.948412965778601,0.9137806394746727,0.00030000000000000003,-4.605120183487925,0.5855668711357535,1.0,0.0,3
146,5,opened,(opened,5,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,33.84,1.529430354366986,0.8609608768757285,0.00030000000000000003,-4.605120183487925,0.0,0.0,0.0,3
146,6,on,on,6,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,6955.73,3.8423427156846266,0.6506961167559431,0.018153643833600797,-2.5507133337504375,0.7545574031761267,1.0,0.0,3
146,7,november,November,7,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",8,8.76,0.9425041061680807,0.9143178085301745,0.006556188840940063,-3.0618851575738213,1.0,0.0,0.0,3
146,8,15,"15,",8,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,1.0,0.0,1.0,0.00030000000000000003,-4.605120183487925,1.0,1.0,0.0,3
146,9,1956,"1956),",9,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",4,1.0,0.0,1.0,0.00030000000000000003,-4.605120183487925,0.19086105906827835,0.0,0.0,3
146,10,presley,Presley,10,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",7,1.43,0.1553360374650618,0.9858785420486308,0.00030000000000000003,-4.605120183487925,0.3665090190423294,1.0,1.0,3
146,11,starred,starred,11,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",7,0.71,-0.14874165128092473,1.013521968298266,0.00030000000000000003,-4.605120183487925,0.23228314151518945,0.0,0.0,3
146,12,in,in,12,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,9773.41,3.9900461180481677,0.6372685347228939,0.004143196751840425,-3.2917589476813305,0.8958189054235083,1.0,0.0,3
146,13,31,31,13,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,1.0,0.0,1.0,0.00030000000000000003,-4.605120183487925,0.0,0.0,0.6666666666666666,3
146,14,motion,motion,14,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,18.96,1.2778383330020475,0.8838328788179957,0.00030000000000000003,-4.605120183487925,0.6932644893882638,0.3333333333333333,0.3333333333333333,3
146,15,pictures,"pictures,",15,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",8,68.18,1.8336569968928724,0.8333039093733752,0.00030000000000000003,-4.605120183487925,0.9473886558875954,0.6666666666666666,0.0,3
146,16,having,having,16,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,289.25,2.4612733676237872,0.7762478756705647,0.0006897281091793615,-4.188797717780867,1.0,0.3333333333333333,0.3333333333333333,3
146,17,signed,signed,17,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,36.06,1.5570257223863833,0.8584522070557834,0.00030000000000000003,-4.605120183487925,1.0,0.6666666666666666,0.0,3
146,18,to,to,18,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,22677.84,4.355601686871926,0.6040362102843704,0.1647992792669701,-1.422569885266921,0.9630691720972556,0.3333333333333333,0.0,3
146,19,multiple,multiple,19,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",8,10.59,1.024895960107485,0.9068276399902286,0.00030000000000000003,-4.605120183487925,1.0,0.6666666666666666,1.0,3
146,20,longterm,long-term,20,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",8,1.0,0.0,1.0,0.00030000000000000003,-4.605120183487925,0.0,0.0,0.0,3
146,21,contracts,contracts,21,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",9,5.8,0.7634279935629373,0.9305974551306421,0.00030000000000000003,-4.605120183487925,0.7538430488782853,1.0,0.0,3
146,22,on,on,22,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,6955.73,3.8423427156846266,0.6506961167559431,0.000983322374320043,-4.011429001466778,0.6361730028093621,0.0,0.0,3
146,23,the,the,23,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",3,29449.180000000004,4.469073206544746,0.5937206175868412,0.7714042391122685,-0.5304572106808384,0.46149701176912156,0.6666666666666666,0.6666666666666666,3
146,24,advice,advice,24,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",6,47.98,1.6810602436318118,0.8471763414880171,0.00030000000000000003,-4.605120183487925,0.0,0.0,0.0,3
146,25,of,of,25,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",2,11577.24,4.063605036452092,0.6305813603225371,0.660193990957336,-0.6326447926354732,0.9942155349036789,0.3333333333333333,0.0,3
146,26,his,his,26,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",3,2124.78,3.3273139698064678,0.6975169118357756,0.005147802275668774,-3.183040139325304,1.0,0.0,1.0,3
146,27,manager,manager.,27,"Beginning with Love Me Tender (opened on November 15, 1956), Presley starred in 31 motion pictures, having signed to multiple long-term contracts on the advice of his manager.",7,39.96,1.6016254795539446,0.8543976836769142,0.00030000000000000003,-4.605120183487925,0.46822531410621315,0.0,0.0,3
147,0,elvis,Elvis,0,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",5,10.53,1.0224283711854865,0.9070519662558648,0.0008000000000000001,-4.605120183487926,0.0,1.0,1.0,8
147,1,was,was,1,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",3,5654.73,3.75241187322089,0.65887164788901,0.004618419419065004,-3.728283411029316,0.8565589281246694,0.0,0.0,8
147,2,praised,praised,2,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",7,1.7100000000000004,0.23299611039215382,0.9788185354188952,0.0008000000000000001,-4.605120183487926,0.5636327932046004,1.0,1.0,8
147,3,by,by,3,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",2,1340.47,3.1272570988259853,0.7157039001067287,0.0035079217926139673,-3.865867227010612,1.0,0.0,0.0,8
147,4,all,all,4,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",3,5161.86,3.712806221429859,0.6624721616881946,0.02564326806850892,-2.869852590063275,0.40472825528205025,1.0,0.0,8
147,5,his,his,5,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",3,2124.78,3.3273139698064678,0.6975169118357756,0.4091705053680275,-1.4602820997685422,0.3744923604309603,0.0,0.0,8
147,6,directors,"directors,",6,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",9,5.78,0.761927838420529,0.9307338328708611,0.0008000000000000001,-4.605120183487926,0.4972343854307772,0.875,0.0,8
147,7,including,including,7,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",9,27.550000000000004,1.4401216031878037,0.869079854255654,0.0008000000000000001,-4.605120183487926,0.9104496685906971,0.125,0.0,8
147,8,the,the,8,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",3,29449.179999999997,4.469073206544746,0.5937206175868414,0.48255480999734734,-1.3729435568359083,0.8495140027114932,0.875,0.0,8
147,9,highly,highly,9,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",6,21.2,1.3263358609287514,0.8794240126428408,0.0008000000000000001,-4.605120183487926,0.6658537319951768,0.125,0.125,8
147,10,respected,respected,10,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",9,6.590000000000002,0.8188854145940098,0.9255558714005446,0.0008000000000000001,-4.605120183487926,0.941023636654471,0.875,0.0,8
147,11,michael,Michael,11,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",7,198.32999999999998,2.297388411880627,0.7911465080108522,0.0008000000000000001,-4.605120183487926,0.8201598479260922,0.125,1.0,8
147,12,curtiz,"Curtiz,",12,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",6,1.0,0.0,1.0,0.0008000000000000001,-4.605120183487926,0.0,0.0,0.0,8
147,13,as,as,13,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",2,2217.02,3.345769610954118,0.6958391262768985,0.044160991737057245,-2.596909772488798,1.0,1.0,0.375,8
147,14,unfailingly,unfailingly,14,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",11,0.04,-1.3979400086720375,1.1270854553338217,0.0008000000000000001,-4.605120183487926,0.0,0.0,0.625,8
147,15,polite,polite,15,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",6,13.94,1.1442627737619906,0.8959761114761824,0.0008000000000000001,-4.605120183487926,0.623896590189508,0.375,0.25,8
147,16,and,and,16,"Elvis was praised by all his directors, including the highly respected Michael Curtiz, as unfailingly polite and extremely hardworking.",3,13387.839999999998,4.126710513400982,0.6248444987817289,0.016404493348721932,-3.0937944358659673,0.9909542653079796,0.625,0.0,8
