word,original_word,difficulty,regression_probability,total_occurrences
grandson,"grandson,",0.9179997371499337,1.0,1
zoönomia,Zoönomia,1.0,1.0,1
jezebel,Jezebel:,1.0158113815726522,1.0,1
uncommon,Uncommon,0.9695951135317336,1.0,1
defied,Defied,0.9984515146092018,1.0,1
nonviolent,Nonviolent,1.0182417682314926,1.0,1
participant,participant,1.0208316353052596,1.0,1
challenged,challenged,0.9448744213535814,1.0,1
blacks,blacks,0.9525050696812436,1.0,1
younger,"younger,",0.8734711887624319,1.0,1
criticized,criticized,1.0170078766688313,1.0,1
principles,principles,0.9292589772378506,1.0,1
organizations,organization's,0.986998654522355,1.0,1
secede,secede,1.0997190920916415,1.0,1
1977,"1977),",1.0,1.0,1
16,"16,",1.0,1.0,1
–,–,1.0,1.0,1
1935,1935,1.0,1.0,1
8,"8,",1.0,1.0,1
american,American,0.8173149203073438,1.0,1
1794–1796,"(1794–1796),",1.0,1.0,1
presley,Presley,0.9858785420486308,1.0,1
hutchinson,"Hutchinson,",1.0,1.0,1
foreshadowed,foreshadowed,1.0,1.0,1
regarded,regarded,0.9718518029612819,1.0,1
renounced,renounced,1.0488729092819131,1.0,1
lamarck,"Lamarck,",1.0,1.0,1
jeanbaptiste,Jean-Baptiste,1.0,1.0,1
württemberg,Württemberg,1.0,1.0,1
views,views,0.9448744213535814,1.0,1
anticipated,anticipated,0.9618222046827493,1.0,1
darwin,"Darwin,",0.9666040071794528,1.0,1
robert,Robert,0.8363109434937155,1.0,1
famous,famous,0.8496904099395908,1.0,1
descendant,"descendant,",0.9969614767739137,1.0,1
eve,Eve,0.8681871828387875,1.0,1
laplante,"LaPlante,",1.0,1.0,1
generation,"""generation,""",0.9014346648418874,1.0,1
pathology,"pathology,",0.9858785420486308,1.0,1
contains,contains,0.9356754385365512,1.0,1
january,(January,0.924961262021107,1.0,1
nonviolent,nonviolent,1.0182417682314926,1.0,1
aron,Aron,1.0,1.0,1
society,society,0.8620491066781607,1.0,1
1916,1916,1.0,1.0,1
bros,"Bros.,",0.9962370286219795,1.0,1
tapped,"""tapped""",0.940881134260733,1.0,1
18,"18,",1.0,1.0,1
flower,Flower,0.8766207038433605,1.0,1
home,home,0.7373703558604467,1.0,1
f,F.,1.0,1.0,1
james,James,0.8346827434359806,1.0,1
1879,"1879,",1.0,1.0,1
bush,Bush,0.8954695730258377,1.0,1
elvis,Elvis,0.9070519662558649,1.0,1
relocated,relocated,1.0088100011825505,1.0,1
machinist,"machinist,",1.0352014675709331,1.0,1
marilyn,Marilyn,0.9139588849988115,1.0,1
norwich,"Norwich,",1.0,1.0,1
the,The,0.5937206175868412,0.0,1
of,of,0.6305813603225371,0.0,1
the,the,0.5937206175868412,0.0,1
most,most,0.7686354489631763,0.0,1
recent,recent,0.8983696513600326,0.0,1
company,company.,0.8029174718180473,0.0,1
on,On,0.6506961167559431,0.0,1
a,a,0.6081858974533765,0.0,1
of,of,0.6305813603225371,0.0,1
anne,Anne,0.8800245005154341,0.0,1
author,author,0.9181981361429913,0.0,1
militia,militia,0.9679834074444216,0.0,1
may,May,0.7537513412595364,0.0,1
biography,biography,0.9847893332047113,0.0,1
he,he,0.6470059851013474,0.0,1
the,the,0.5937206175868412,0.0,1
is,is,0.6404664208121383,0.0,1
at,at,0.6811395853930866,0.0,1
the,The,0.5937206175868412,0.0,1
same,same,0.7617887745664309,0.0,1
year,"year,",0.7778254726269979,0.0,1
he,he,0.6470059851013474,0.0,1
his,his,0.6975169118357756,0.0,1
bones,Bones,0.8649215154911514,0.0,1
and,and,0.6248444987817289,0.0,1
skull,Skull,0.8938533933884063,0.0,1
citizenship,citizenship,0.9887407599120831,0.0,1
the,the,0.5937206175868412,0.0,1
join,join,0.8253343414923798,0.0,1
and,and,0.6248444987817289,0.0,1
became,became,0.8473660567345668,0.0,1
to,to,0.6040362102843704,0.0,1
stateless,stateless.,1.0776247240292511,0.0,1
another,Another,0.7539176861308821,0.0,1
was,was,0.65887164788901,0.0,1
life,Life,0.7362484035931983,0.0,1
of,of,0.6305813603225371,0.0,1
woman,Woman,0.7601709363763418,0.0,1
of,of,0.6305813603225371,0.0,1
protest,protest,0.9142277712812634,0.0,1
