sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
0,0,with,With,0,,4,5048.330000000001,3.7031477361914535,0.6633502058007769,0.0,-2.5530000000000004,0.0,0.18181818181818182,11,Class 1
0,1,his,his,1,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.36363636363636365,0.0,11,Class 1
0,2,interest,interest,2,,8,50.93999999999999,1.7070589406275969,0.8448128235793095,0.0,-2.5530000000000004,0.36363636363636365,0.2727272727272727,11,Class 1
0,3,in,in,3,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
0,4,race,race,4,,4,61.899999999999984,1.7916906490201183,0.837119031907262,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
0,5,cars,"cars,",5,,4,45.63,1.6592504687726615,0.8491590482933945,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
0,6,he,he,6,,2,7637.199999999998,3.882934163885179,0.6470059851013473,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
0,7,formed,formed,7,,6,4.730000000000001,0.6748611407378116,0.9386489872056534,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
0,8,a,a,8,,1,20415.269999999997,4.309955128012859,0.6081858974533764,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
0,9,second,second,9,,6,284.57000000000005,2.4541891138747682,0.7768918987386576,0.0,-2.5530000000000004,0.36363636363636365,0.09090909090909091,11,Class 1
0,10,company,"company,",10,,7,147.20000000000002,2.16790781000148,0.8029174718180474,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
0,11,the,the,11,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.8181818181818182,0.18181818181818182,11,Class 1
0,12,henry,Henry,12,,5,76.54999999999998,1.8839451950342794,0.8287322549968837,0.0,-2.5530000000000004,0.5454545454545454,0.7272727272727273,11,Class 1
0,13,ford,Ford,13,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.45454545454545453,0.2727272727272727,11,Class 1
0,14,company,Company.,14,,7,147.20000000000002,2.16790781000148,0.8029174718180474,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
1,0,during,During,0,,6,75.91999999999999,1.880356199419236,0.8290585273255237,0.0,-2.5530000000000004,0.0,0.18181818181818182,11,Class 1
1,1,this,this,1,,4,7978.729999999997,3.901933768808625,0.6452787482901251,0.0,-2.5530000000000004,0.5454545454545454,0.36363636363636365,11,Class 1
1,2,period,"period,",2,,6,27.780000000000005,1.4437322414015965,0.8687516144180367,0.0,-2.5530000000000004,0.6363636363636364,0.0,11,Class 1
1,3,he,he,3,,2,7637.199999999998,3.882934163885179,0.6470059851013473,0.0,-2.5530000000000004,0.7272727272727273,0.0,11,Class 1
1,4,personally,personally,4,,10,36.67000000000001,1.564310909960603,0.8577899172763087,0.0,-2.5530000000000004,0.18181818181818182,0.09090909090909091,11,Class 1
1,5,drove,drove,5,,5,28.86000000000001,1.4602963267574756,0.8672457884765931,0.0,-2.5530000000000004,0.45454545454545453,0.18181818181818182,11,Class 1
1,6,his,his,6,,3,2124.7799999999997,3.3273139698064678,0.6975169118357755,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
