bin,ambiguity_zscore,ambiguity,ambiguity_norm,avg_regression_probability,avg_skip_probability,n_sentences
0,-1.7105522361487044,4.029135625862305,0.2349754942131239,0.12179949342482593,0.4515209952254342,29
1,-1.0816755643583935,4.412158393140778,0.3433233755188181,0.16107666297962017,0.4506424277451109,29
2,-0.676782439378046,4.658762047145791,0.41308158760509783,0.14607255036490768,0.4308578951710878,28
3,-0.35357291468148394,4.855615599063383,0.46876669851722513,0.19744044258730167,0.4242573018756005,29
4,-0.11517575060565709,5.00081345039362,0.5098396605073215,0.1918890743890879,0.4391795336316195,28
5,0.12955394994088015,5.149868187742538,0.552003642312065,0.1998158182386539,0.4418464832111356,29
6,0.403565440508263,5.3167572521507225,0.5992125240978571,0.18723906882273117,0.4368789714250973,28
7,0.652010778798747,5.468075030751974,0.6420166655639695,0.1972538760832752,0.4392057992454286,29
8,0.97145662627186,5.662636282557425,0.6970533401906193,0.22612525296932948,0.43188563912836164,28
9,1.8012777605765398,6.168046009877568,0.8400215337930985,0.21705520755264707,0.4295171860273973,29
