word_length,letter_number,proportion_of_fixation
3,0,22.02380952380952
3,1,23.809523809523807
3,2,26.428571428571423
3,3,28.33333333333333
4,0,16.78571428571428
4,1,19.285714285714285
4,2,21.9047619047619
4,3,22.738095238095237
4,4,19.64285714285714
5,0,13.809523809523808
5,1,16.07142857142857
5,2,19.166666666666664
5,3,20.83333333333333
5,4,17.619047619047613
5,5,12.619047619047612
6,0,12.023809523809518
6,1,13.928571428571429
6,2,15.952380952380947
6,3,20.0
6,4,18.09523809523809
6,5,12.976190476190473
6,6,7.380952380952376
7,0,10.357142857142854
7,1,12.14285714285714
7,2,14.999999999999996
7,3,18.809523809523803
7,4,17.857142857142854
7,5,12.738095238095234
7,6,7.976190476190471
7,7,5.119047619047617
8,0,10.952380952380947
8,1,10.833333333333329
8,2,14.047619047619044
8,3,18.09523809523809
8,4,18.809523809523803
8,5,11.78571428571428
8,6,8.571428571428566
8,7,3.690476190476186
8,8,2.976190476190471
