word_length,letter_number,proportion_of_fixation
5,0,19.09090909
5,1,27.27272727
5,2,27.27272727
5,3,17.72727273
5,4,8.863636364
6,0,13.69565217
6,1,19.56521739
6,2,24.7826087
6,3,20.86956522
6,4,12.39130435
6,5,6.52173913
7,0,11.33333333
7,1,21.33333333
7,2,21.33333333
7,3,19.33333333
7,4,14.66666667
7,5,8.666666667
7,6,3.333333333
8,0,11.59090909
8,1,18.40909091
8,2,19.77272727
8,3,21.81818182
8,4,13.63636364
8,5,8.181818182
8,6,8.181818182
8,7,1.363636364
9,0,13.69565217
9,1,11.73913043
9,2,19.56521739
9,3,18.91304348
9,4,16.30434783
9,5,11.08695652
9,6,2.608695652
9,7,1.956521739
9,8,0.652173913
10,0,2.580645161
10,1,14.83870968
10,2,18.06451613
10,3,21.29032258
10,4,25.16129032
10,5,5.806451613
10,6,5.161290323
10,7,2.580645161
10,8,2.580645161
10,9,0.64516129
