word_length,letter_number,probability_of_regression
5,0,14.375
5,1,13.75
5,2,21.875
5,3,21.25
5,4,30.625
6,0,3.125
6,1,8.75
6,2,16.875
6,3,21.875
6,4,17.5
6,5,34.375
7,0,6.52173913
7,1,11.08695652
7,2,14.34782609
7,3,15.0
7,4,14.34782609
7,5,25.43478261
7,6,24.13043478
8,0,0.0
8,1,3.913043478
8,2,5.217391304
8,3,10.43478261
8,4,14.34782609
8,5,16.30434783
8,6,29.34782609
8,7,30.0
9,0,0.0
9,1,3.225806452
9,2,3.225806452
9,3,8.387096774
9,4,8.387096774
9,5,8.387096774
9,6,18.70967742
9,7,23.87096774
9,8,23.87096774
