word_length,letter_number,probability_of_regression
5,0,0.4
5,1,0.6
5,2,0.0
5,3,0.0
5,4,0.0
6,0,0.43333333333333335
6,1,0.5666666666666667
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
7,0,0.6451612904183142
7,1,0.06451612923968093
7,2,0.2903225803420048
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
8,0,0.10204081630737194
8,1,0.4081632652920727
8,2,0.4897959184005553
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
9,0,0.2765957445755998
9,1,0.34042553188682656
9,2,0.3191489361603893
9,3,0.06382978737718428
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,1.1102230246251565e-16
