word_length,action,proportion_of_action
1,0,0.23684210526315788
1,1,0.2578947368421053
1,2,0.23508771929824562
1,3,0.27017543859649124
1,4,0.0
2,0,0.24635036496350365
2,1,0.27007299270072993
2,2,0.24635036496350365
2,3,0.23722627737226276
2,4,0.0
3,0,0.24302134646962234
3,1,0.2627257799671593
3,2,0.23316912972085385
3,3,0.26108374384236455
3,4,0.0
4,0,0.274822695035461
4,1,0.23404255319148937
4,2,0.24468085106382978
4,3,0.24645390070921985
4,4,0.0
5,0,0.2617801047120419
5,1,0.24083769633507854
5,2,0.2792321116928447
5,3,0.2181500872600349
5,4,0.0
6,0,0.24377224199288255
6,1,0.23487544483985764
6,2,0.26334519572953735
6,3,0.2580071174377224
6,4,0.0
7,0,0.2549019607843137
7,1,0.26737967914438504
7,2,0.2531194295900178
7,3,0.22459893048128343
7,4,0.0
8,0,0.24816176470588236
8,1,0.23161764705882354
8,2,0.2757352941176471
8,3,0.24448529411764705
8,4,0.0
9,0,0.24742268041237114
9,1,0.2508591065292096
9,2,0.2646048109965636
9,3,0.23711340206185566
9,4,0.0
10,0,0.24915254237288137
10,1,0.25254237288135595
10,2,0.2542372881355932
10,3,0.2440677966101695
10,4,0.0
11,0,0.25210084033613445
11,1,0.26554621848739496
11,2,0.25546218487394956
11,3,0.226890756302521
11,4,0.0
12,0,0.24385964912280703
12,1,0.27017543859649124
12,2,0.24035087719298245
12,3,0.24561403508771928
12,4,0.0
13,0,0.21129032258064517
13,1,0.2629032258064516
13,2,0.2629032258064516
13,3,0.2629032258064516
13,4,0.0
14,0,0.2504708097928437
14,1,0.2598870056497175
14,2,0.24858757062146894
14,3,0.24105461393596986
14,4,0.0
