word_length,letter_number,proportion_of_fixation
1,0,1.0
2,0,0.46879535558780844
2,1,0.5312046444121916
3,0,0.49523809523809526
3,1,0.5047619047619047
4,0,0.5453237410071943
4,1,0.4546762589928058
5,2,0.3409090909090909
5,3,0.32727272727272727
5,4,0.33181818181818185
6,2,0.3225806451612903
6,3,0.32959326788218796
6,4,0.34782608695652173
7,2,0.3541963015647226
7,3,0.34708392603129445
7,4,0.29871977240398295
8,2,0.14659685863874344
8,3,0.4083769633507853
8,4,0.44502617801047123
9,3,0.33618233618233617
9,4,0.6638176638176638
10,3,0.004784688995215311
10,4,0.5263157894736842
10,5,0.4688995215311005
