word_length,letter_number,proportion_of_fixation
1,0,1.0
2,0,0.49594594594594593
2,1,0.504054054054054
3,0,0.22910662824207492
3,1,0.45821325648414984
3,2,0.3126801152737752
4,0,0.25815217391304346
4,1,0.3845108695652174
4,2,0.2391304347826087
4,3,0.11820652173913043
5,0,0.30474934036939316
5,1,0.38258575197889183
5,2,0.22559366754617413
5,3,0.0870712401055409
5,4,0.0
6,0,0.10320781032078104
6,1,0.24686192468619247
6,2,0.32217573221757323
6,3,0.21338912133891214
6,4,0.11436541143654114
6,5,0.0
7,0,0.06437768240343347
7,1,0.11444921316165951
7,2,0.1859799713876967
7,3,0.27467811158798283
7,4,0.19456366237482117
7,5,0.1072961373390558
7,6,0.058655221745350504
8,0,0.06808510638297872
8,1,0.1347517730496454
8,2,0.17872340425531916
8,3,0.24680851063829787
8,4,0.17163120567375886
8,5,0.12907801418439716
8,6,0.07092198581560284
8,7,0.0
9,0,0.04735376044568245
9,1,0.14345403899721448
9,2,0.18523676880222842
9,3,0.24373259052924792
9,4,0.19637883008356546
9,5,0.116991643454039
9,6,0.06685236768802229
9,7,0.0
9,8,0.0
10,0,0.08677098150782361
10,1,0.11948790896159317
10,2,0.17923186344238975
10,3,0.21052631578947367
10,4,0.1721194879089616
10,5,0.10384068278805121
10,6,0.08534850640113797
10,7,0.04267425320056899
10,8,0.0
10,9,0.0
11,0,0.041251778093883355
11,1,0.06970128022759602
11,2,0.1166429587482219
11,3,0.1593172119487909
11,4,0.23044096728307253
11,5,0.14935988620199148
11,6,0.10810810810810811
11,7,0.0953058321479374
11,8,0.029871977240398292
11,9,0.0
11,10,0.0
12,0,0.044412607449856735
12,1,0.08739255014326648
12,2,0.11891117478510028
12,3,0.17765042979942694
12,4,0.18911174785100288
12,5,0.14326647564469913
12,6,0.11318051575931232
12,7,0.07736389684813753
12,8,0.04871060171919771
12,9,0.0
12,10,0.0
12,11,0.0
13,0,0.019830028328611898
13,1,0.036827195467422094
13,2,0.06232294617563739
13,3,0.07790368271954674
13,4,0.11614730878186968
13,5,0.08781869688385269
13,6,0.07932011331444759
13,7,0.08073654390934844
13,8,0.09773371104815864
13,9,0.09490084985835694
13,10,0.09773371104815864
13,11,0.09490084985835694
13,12,0.053824362606232294
14,0,0.01510989010989011
14,1,0.034340659340659344
14,2,0.050824175824175824
14,3,0.06318681318681318
14,4,0.09340659340659341
14,5,0.09478021978021978
14,6,0.07417582417582418
14,7,0.07005494505494506
14,8,0.05631868131868132
14,9,0.07417582417582418
14,10,0.0673076923076923
14,11,0.11538461538461539
14,12,0.10576923076923077
14,13,0.08516483516483517
