word_length,letter_number,probability_of_regression
8,0,0.3388888888888889
8,1,0.3
8,2,0.3611111111111111
9,0,0.3611111111111111
9,1,0.3611111111111111
9,2,0.2777777777777778
10,0,0.3314917127071823
10,1,0.3370165745856354
10,2,0.3314917127071823
11,0,0.38390092879256965
11,1,0.30959752321981426
11,2,0.3065015479876161
12,0,0.3181818181818182
12,1,0.354978354978355
12,2,0.3268398268398268
13,0,0.3333333333333333
13,1,0.36091954022988504
13,2,0.3057471264367816
14,0,0.3399734395750332
14,1,0.33200531208499334
14,2,0.3280212483399734
