word_length,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
1,212.17500313409758,151.07267409404753,740,5.553541949637807,201.2900609128075,223.05994535538767
2,199.79424028200464,139.84450983760203,682,5.354923041430836,189.2985911208002,210.28988944320906
3,211.47892410808512,147.19734761248606,739,5.41474196119203,200.86602986414874,222.0918183520215
4,209.879849998382,150.947960021009,707,5.676982314214482,198.75296466252163,221.0067353342424
5,212.6797870565498,148.50515027700882,732,5.4889082965535145,201.9215267953049,223.43804731779468
6,219.49204886609,154.258664774716,714,5.77298543785239,208.1769974078993,230.80710032428067
7,257.5079004119007,175.60950467468936,725,6.521973271534202,244.72483279969367,270.29096802410777
8,292.2144186449703,201.97481852783667,693,7.672388916587677,277.17653636845847,307.2523009214821
9,319.52661505384793,199.3267501686978,710,7.480599634473695,304.8646397702795,334.1885903374164
10,377.97619673761494,212.51024176978595,696,8.055179926307725,362.1880440820518,393.76434939317807
11,378.0487701500842,203.80919926065076,675,7.844619737097252,362.67331546537355,393.4242248347948
12,403.38134595986077,210.932713546841,769,7.606428193473105,388.4727467006535,418.28994521906804
13,421.25858196887685,209.13101824921858,657,8.15897809672782,405.2669848992903,437.2501790384634
14,457.92928560276596,231.47222790844506,761,8.390861706322985,441.4831966583729,474.375374547159
