run_dir,rho_inflation_percentage,w_skip_degradation_factor,coverage_factor,30s_reading_speed,30s_skip_rate,30s_regression_rate,60s_reading_speed,60s_skip_rate,60s_regression_rate,90s_reading_speed,90s_skip_rate,90s_regression_rate,loss_type,loss_total,loss_reading_speed,loss_skip_rate,loss_regression_rate
simulation_data/rho_0.300__w_0.900__cov_1.50,0.3,0.9,1.5,198.22222222222223,0.5735218509124097,0.30654189032075135,183.77777777777777,0.5541493963411974,0.5105253096989437,179.77777777777777,0.5585543327898075,0.6460288172629233,sse,377.30123629967056,377.1487356894187,0.14819853531540236,0.0043020749364783666
simulation_data/rho_0.300__w_0.800__cov_2.00,0.3,0.8,2.0,197.77777777777777,0.49022643986173076,0.22676340618953114,190.66666666666666,0.45303924663824446,0.4932790742886028,179.25925925925927,0.4486010856902707,0.6219744671184732,sse,574.901329869025,574.8456656786288,0.04579242950496262,0.009871760891108475
simulation_data/rho_0.300__w_0.900__cov_2.50,0.3,0.9,2.5,203.11111111111111,0.5829597494645038,0.1939399597739842,185.55555555555554,0.5516654863706949,0.5176936833126429,182.2962962962963,0.5483027215921992,0.6544923053883145,sse,581.1431812071654,580.9760992294109,0.14557888564434254,0.02150309211009451
simulation_data/rho_0.300__w_0.900__cov_2.00,0.3,0.9,2.0,200.22222222222223,0.5739583657771622,0.2745790617656507,189.55555555555554,0.5544418506528075,0.528145329924576,180.96296296296293,0.5487310835376874,0.6501740271693845,sse,614.2397692917899,614.0879328071067,0.14370837140334747,0.00812811327988741
simulation_data/rho_0.290__w_0.880__cov_0.00,0.29,0.88,0.0,206.66666666666666,0.510749535747747,0.6746480252629737,186.66666666666666,0.5381879913085662,0.5498801468082252,180.14814814814815,0.5348689441864217,0.6495258795601051,sse,636.7145477486657,636.4689347691001,0.11102654901211936,0.1345864305535843
simulation_data/rho_0.290__w_0.980__cov_0.00,0.29,0.98,0.0,209.55555555555554,0.630886017824312,0.7006209758725079,185.0,0.6227349787490828,0.5589644080110295,178.74074074074076,0.619762851844212,0.6652288044457384,sse,641.7070398363624,641.3069499692308,0.24291339692320013,0.1571764702082973
simulation_data/rho_0.290__w_0.980__cov_1.70,0.29,0.98,1.7,205.11111111111111,0.6638916983772613,0.32377693404030217,189.77777777777777,0.6163579265892422,0.5480869595919191,178.29629629629628,0.6285252884012821,0.664730811481205,sse,649.6152800496484,649.3433459942471,0.26147855093866296,0.010455504462620434
simulation_data/rho_0.290__w_0.960__cov_0.30,0.29,0.96,0.3,208.44444444444446,0.6120977228703556,0.5773317781669992,185.33333333333334,0.5927567079437412,0.5214881027478876,180.14814814814815,0.5950596089205615,0.6639302924181439,sse,651.9160971146673,651.6400106068438,0.20251502959973902,0.07357147822363462
simulation_data/rho_0.300__w_1.000__cov_0.00,0.3,1.0,0.0,208.0,0.6205059225093869,0.684513245021118,185.44444444444446,0.647365527961493,0.5543563667935235,180.59259259259258,0.6414026521609808,0.675440766900478,sse,653.9346884046911,653.5213100550769,0.26732280474820536,0.14605554486603572
simulation_data/rho_0.290__w_0.800__cov_2.00,0.29,0.8,2.0,201.33333333333334,0.498327608543528,0.2473329107658344,190.22222222222223,0.4516343048914635,0.49314781640816097,181.18518518518516,0.4520954063445285,0.6278664405328394,sse,664.0228065531585,663.9678829427471,0.04806267508486189,0.006860935326545574
simulation_data/rho_0.300__w_0.900__cov_3.00,0.3,0.9,3.0,198.0,0.5811931719401051,0.16041889873286874,190.22222222222223,0.5479907840937567,0.5332393399750207,182.88888888888886,0.534073893839527,0.6593129022178836,sse,670.6708219226658,670.5009593990717,0.1366628918154866,0.033199631778663925
simulation_data/rho_0.290__w_0.960__cov_1.30,0.29,0.96,1.3,196.88888888888889,0.6448344038347957,0.3388674011676518,190.33333333333334,0.5929449132677167,0.5410357110390116,183.1851851851852,0.5992036186095375,0.6631426211284728,sse,673.855619210996,673.6255294015994,0.220467783052971,0.009622026343565685
simulation_data/rho_0.300__w_0.900__cov_0.50,0.3,0.9,0.5,207.77777777777777,0.5628431676960913,0.4985721647181472,187.66666666666666,0.5559975276656934,0.5102419056333131,179.18518518518516,0.5526709782982924,0.6486486588330315,sse,674.441378346824,674.262617436276,0.14240949351224086,0.03635141703579395
simulation_data/rho_0.290__w_0.940__cov_1.50,0.29,0.94,1.5,192.0,0.6214278184089363,0.31108292238257146,191.77777777777777,0.5708436768881386,0.5385948629845945,182.22222222222223,0.5862804016595313,0.6580297624351074,sse,678.0686705081491,677.8699273343054,0.19042332697618747,0.008319846867529533
simulation_data/rho_0.290__w_1.000__cov_1.80,0.29,1.0,1.8,202.44444444444446,0.6738745656008924,0.33486830708377974,191.22222222222223,0.6456316036911736,0.562759155247938,179.62962962962965,0.6413379487412176,0.6720396376314676,sse,678.7215208212078,678.4140520990915,0.2933791550936471,0.014089567022746642
simulation_data/rho_0.290__w_0.900__cov_1.10,0.29,0.9,1.1,199.11111111111111,0.5713945317611469,0.34086521536914016,191.11111111111111,0.5532808269432175,0.5257263119657529,181.70370370370372,0.5558100353420315,0.6508226836566853,sse,679.5789738066495,679.4269396280432,0.14567404153504965,0.006360137071269082
simulation_data/rho_0.290__w_0.920__cov_2.10,0.29,0.92,2.1,196.88888888888889,0.596765413489986,0.27687450957454307,191.44444444444446,0.5672550888931444,0.5367842242734221,182.2962962962963,0.5540807300835551,0.6571817384886542,sse,686.9909782381203,686.820014573327,0.16120698979651266,0.009756674996826784
simulation_data/rho_0.290__w_0.960__cov_2.00,0.29,0.96,2.0,204.22222222222223,0.6405554244580042,0.3035661577531428,189.88888888888889,0.5963278357283701,0.5440537406059621,180.74074074074076,0.5913585792427429,0.6615385230117709,sse,698.3689878044306,698.1436087737618,0.21568974278869552,0.009689287880155804
simulation_data/rho_0.290__w_0.840__cov_1.50,0.29,0.84,1.5,199.33333333333334,0.5355164392372325,0.311983108539859,191.88888888888889,0.4932831117161103,0.5113202456488017,181.33333333333334,0.4950281277977371,0.6394346674751927,sse,702.1133192060837,702.0259057453042,0.083854078684203,0.0035593820953366733
