Participant ID,Stim ID,Trial Condition,MCQ,recall score,recall
1,stimuli1,A.30s,0.8,0.6,initiate a bicycling program， with distributing free helmets. The goal of the program is alleviating traffic congestion.
1,stimuli2,A.30s,0.8,0.8,Initiate a STEM program for students to learn about the cutting-edge technologies. Parents support the program because they think the program can help students be prepared for the job market.
1,stimuli3,A.30s,0.2,0.6,A garden program which residents can grow vegetables and fruits in these gardens. The government hopes this program can reduce carbon footprint.
1,stimuli4,B.60s,0.8,0.8,A suistable life style including three actions， use less single-use plastics， meal planning and a bin in backyard.
1,stimuli5,B.60s,1,0.8,Start a fitness plan， including three key components. Managable goals， a partner， and reasonal rest day.
1,stimuli6,B.60s,0.8,0.6,Read a book named Journey Within. The reader gets fun while reading the book. He/She also thinks about his own life. He wants others to share the books they read recently.
1,stimuli7,C.90s,1,0.8,A technology detox activity. Not means totally give up techonoly， but find a balance. Set tech free zone in home. Take a walk in the morning. Ask others to start from a small thing.
1,stimuli8,C.90s,0.8,0.8,Use mindful cooking to relax and enjoy life. Notice the color and texture of ingredients， and the voice of cooking.
1,stimuli9,C.90s,1,1,The concept of minimalist travelling. Just take essentials and multipurpose items. This can reduce the laoad of traveling between cities. And enjoy scenary more， instead of taking care of possesions.
2,stimuli1,A.30s,0.8,0.5,an article about city's expansion of public bicycle program
2,stimuli2,A.30s,0.2,0.5,school student and parents like the STEM program
2,stimuli3,B.60s,0.4,0.7,city garden plan let citizens grow their own plants and encourage community connected with each other
2,stimuli4,B.60s,0.6,0.7,"a sharing for reducing waste, for example, food waste, plastic ba g"
2,stimuli5,B.60s,0.6,0.7,"workout experience sharing, keep a banlance fit plan, instead of burning out"
2,stimuli6,C.90s,1,0.7,"a sharing for speaker's last impression book, it is about self-growth, self-perception,the author encourgage others to share their favorite books"
2,stimuli7,C.90s,0.8,0.8,"digital detox time is good, make a no-tech zone, help improve sleep quality, encouage others to try"
2,stimuli8,C.90s,0.8,0.8,"mindful cooking  can be an enjoyable activaity and make people relaxed, rather than just cook for living"
2,stimuli9,A.30s,0.6,0.6,a article about how to have a nice and cheap trip
3,stimuli1,B.60s,0.8,0.8,the goverment launch a program to encourage citizens riding bicycle. they encourage people riding in the nearby trip. and they will add more areas for the bikes. besides， the bikes are equiped with many technology to ensure the safety like gps or light.
3,stimuli2,A.30s,0.6,0.7,the school launch a program to promote students learn about robotics. they will provide some mentorship and provide some courses including coding， solving problems and eletronics.
