participant_index,stimulus_index,time_constraint,MCQ Accuracy,Free Recall Score
1,0,30,0.8,0.6
1,1,30,0.8,0.8
1,2,30,0.2,0.6
1,3,60,0.8,0.8
1,4,60,1,0.8
1,5,60,0.8,0.6
1,6,90,1,0.8
1,7,90,0.8,0.8
1,8,90,1,1
2,0,30,0.8,0.5
2,1,30,0.2,0.5
2,2,60,0.4,0.7
2,3,60,0.6,0.7
2,4,60,0.6,0.7
2,5,90,1,0.7
2,6,90,0.8,0.8
2,7,90,0.8,0.8
2,8,30,0.6,0.6
3,0,60,0.8,0.8
3,1,30,0.6,0.7
3,2,30,0.8,0.7
3,3,30,0.4,0.6
3,4,90,0.8,0.8
3,5,90,1,0.6
3,6,90,1,0.8
3,7,60,0.8,0.7
3,8,60,0.8,0.7
4,0,90,0.8,0.7
4,1,90,0.8,0.7
4,2,90,0.8,0.7
4,3,30,0.4,0.6
4,4,30,0.8,0.6
4,5,30,1,0.5
4,6,60,1,0.5
4,7,60,0.4,0.7
4,8,60,0.8,0.6
5,0,30,1,0.6
5,1,30,0.6,0.7
5,2,60,0.6,0.5
5,3,60,1,0.6
5,4,60,0.8,0.7
5,5,90,0.8,0.6
5,6,90,0.8,0.7
5,7,90,0.8,0.7
5,8,30,0.6,0.6
6,0,60,0.6,0.7
6,1,30,0.6,0.7
6,2,30,0.8,0.6
6,3,30,0.8,0.6
6,4,90,0.6,0.6
6,5,90,0.6,0.6
6,6,90,1,0.7
6,7,60,0.8,0.7
6,8,60,0.4,0.7
7,0,90,0.8,0.8
7,1,90,0.8,0.7
7,2,90,1,0.7
7,3,30,0.8,0.7
7,4,30,0.4,0.6
7,5,30,0.8,0.6
7,6,60,0.8,0.7
7,7,60,0.6,0.7
7,8,60,1,0.7
8,0,60,0.6,0.7
8,1,60,0.8,0.7
8,2,30,0,0.5
8,3,30,0.8,0.5
8,4,30,0.4,0.4
8,5,90,1,0.6
8,6,90,0.8,0.6
8,7,90,0.8,0.7
8,8,60,0.8,0.7
9,0,90,1,0.7
9,1,60,0.6,0.7
9,2,60,0.8,0.7
9,3,60,1,0.6
9,4,30,0.8,0.5
9,5,30,1,0.6
9,6,30,0.4,0.5
9,7,90,0.8,0.7
9,8,90,1,0.7
10,0,60,0.8,0.8
10,1,60,0.8,0.8
10,2,60,0.8,0.7
10,3,90,1,0.8
10,4,90,1,0.7
10,5,90,1,0.7
10,6,30,0.6,0.6
