analysis,dataset,outcome,test,n,mean_30s,mean_60s,mean_90s,beta_per_30s_step,ci_low,ci_high,t,df,p,p_formatted,mae,rmse,r
linear_time_trend,human,reading_speed,summary-statistics linear trend test,39/39/39,192.4047619047619,171.48809523809524,165.91164658634534,-13.246557659208278,-22.375010311474703,-4.118105006941853,-2.8746743502647676,114.0,0.004826687516119086,p = 0.005,,,
linear_time_trend,human,skip_rate,summary-statistics linear trend test,39/39/39,0.39215056137433735,0.32265846624427996,0.310129414696708,-0.041010573338814665,-0.060876147438862056,-0.021144999238767274,-4.089568693511821,114.0,8.084540591452799e-05,p < 0.001,,,
linear_time_trend,human,regression_rate,summary-statistics linear trend test,39/39/39,0.3198270479928921,0.4772694567224823,0.5910776774666214,0.13562531473686468,0.10264762678082379,0.16860300269290557,8.147105529569528,114.0,5.307479608704548e-13,p < 0.001,,,
linear_time_trend,human,mcq_accuracy,summary-statistics linear trend test,288/288/288,0.5916666666666667,0.7312500000000001,0.8250000000000001,0.1166666666666667,0.1008890831051536,0.1324442502281798,14.513271604583267,861.0,7.399439705434127e-43,p < 0.001,,,
linear_time_trend,human,free_recall_score,summary-statistics linear trend test,288/288/288,0.44184744264930487,0.5327457231469452,0.5176015434165796,0.03787705038363737,0.02673623600378816,0.049017864763486574,6.672955603470494,861.0,4.4846910618144626e-11,p < 0.001,,,
linear_time_trend,simulation,reading_speed,summary-statistics linear trend test,9/9/9,198.22222222222223,180.77777777777777,171.1851851851852,-13.518518518518519,-20.921648808297956,-6.115388228739083,-3.768791015907325,24.0,0.0009430644334735274,p < 0.001,,,
linear_time_trend,simulation,skip_rate,summary-statistics linear trend test,9/9/9,0.39363747327833404,0.32832209694486025,0.3268998032356246,-0.03336883502135471,-0.04966732601157006,-0.01707034403113936,-4.225537851640506,24.0,0.00029757799624450073,p < 0.001,,,
linear_time_trend,simulation,regression_rate,summary-statistics linear trend test,9/9/9,0.32025870449214516,0.41284812695311895,0.5660919973067965,0.12291664640732566,0.08304195587327518,0.16279133694137615,6.362118083489229,24.0,1.408292407285614e-06,p < 0.001,,,
linear_time_trend,simulation,mcq_accuracy,summary-statistics linear trend test,9/9/9,0.4888888888888888,0.7555555555555555,0.8,0.1555555555555556,0.04718217696064472,0.2639289341504665,2.9624515866061145,24.0,0.006783635308955112,p = 0.007,,,
linear_time_trend,simulation,free_recall_score,summary-statistics linear trend test,9/9/9,0.535790921913253,0.6717904806137085,0.6763229933049943,0.0702660356958707,-0.0025260018171627957,0.14305807320890418,1.9922779325698134,24.0,0.05783379574781271,p = 0.058,,,
human_simulation_fit_all_15_means,Human vs. simulation,All plotted metrics,descriptive model fit,15,,,,,,,,,,N/A,1.402548938233807,3.1413529574664554,0.9999314924100136
